source,target,value
20,224,0.6149
118,133,0.6149
147,200,0.6149
21,56,0.6148
27,242,0.6148
91,147,0.6147
41,83,0.6147
14,72,0.6147
92,237,0.6147
199,200,0.6147
10,12,0.6147
59,235,0.6146
79,140,0.6145
107,152,0.6145
26,67,0.6144000000000001
162,184,0.6141
97,197,0.6139
35,152,0.6138
79,83,0.6137
115,158,0.6137
147,250,0.6137
66,137,0.6134999999999999
81,113,0.6134999999999999
55,235,0.6132
56,85,0.613
247,267,0.613
122,243,0.6129
42,83,0.6128
65,184,0.6127
61,112,0.6126
181,184,0.6126
9,11,0.6125
15,118,0.6125
184,216,0.6125
6,151,0.6124
79,82,0.6124
86,97,0.6123000000000001
109,133,0.6123000000000001
63,244,0.6123000000000001
30,181,0.6121
25,130,0.612
178,230,0.6119
109,157,0.6119
70,233,0.6118
83,109,0.6117
21,126,0.6114999999999999
62,112,0.6114999999999999
62,158,0.6114999999999999
110,154,0.6113
14,125,0.6112
38,88,0.6112
73,190,0.6109
127,230,0.6107
49,92,0.6106
65,216,0.6105
66,161,0.6104
199,235,0.6104
67,181,0.6103000000000001
38,67,0.6103000000000001
41,131,0.6101
85,126,0.61
88,177,0.61
52,96,0.61
67,184,0.6099
41,177,0.6098
78,170,0.6098
230,233,0.6098
94,98,0.6097
106,157,0.6095999999999999
153,265,0.6093
79,90,0.6093
14,151,0.6091
143,161,0.6091
30,189,0.6091
20,29,0.6089
167,199,0.6089
82,167,0.6087
112,153,0.6087
68,74,0.6086
38,145,0.6085
84,154,0.6084
66,143,0.6082000000000001
157,239,0.6082000000000001
16,217,0.6082000000000001
78,175,0.6081
25,184,0.6078
233,243,0.6075999999999999
87,98,0.6075999999999999
132,173,0.6074999999999999
86,196,0.6074999999999999
129,229,0.6073999999999999
8,198,0.6073
153,158,0.6072
47,133,0.6072
38,225,0.6071
157,199,0.607
9,36,0.607
146,242,0.6069
58,125,0.6068
219,238,0.6068
26,147,0.6067
127,187,0.6066
106,125,0.6066
17,168,0.6064
105,148,0.6064
180,193,0.6063000000000001
34,36,0.6063000000000001
161,189,0.6063000000000001
79,156,0.6063000000000001
73,118,0.6063000000000001
12,218,0.6062000000000001
125,157,0.6062000000000001
197,238,0.6062000000000001
121,237,0.6062000000000001
4,75,0.6061000000000001
104,107,0.6059
73,248,0.6058
114,152,0.6058
61,72,0.6058
129,199,0.6057
47,72,0.6056
84,199,0.6054999999999999
3,170,0.6054999999999999
62,104,0.6053999999999999
6,133,0.6053
171,258,0.6051
25,90,0.605
3,53,0.605
91,200,0.6049
176,225,0.6049
44,90,0.6048
63,206,0.6047
87,205,0.6046
140,177,0.6044
79,106,0.6043000000000001
25,125,0.6043000000000001
15,67,0.6042000000000001
114,190,0.6042000000000001
65,143,0.6042000000000001
82,200,0.6041000000000001
14,145,0.604
76,220,0.6038
84,111,0.6036
16,249,0.6034999999999999
13,151,0.6033999999999999
14,73,0.6033999999999999
58,184,0.6033999999999999
85,200,0.6033999999999999
75,206,0.6033
34,153,0.6032
134,190,0.6032
90,129,0.603
5,145,0.6028
64,244,0.6028
58,106,0.6028
218,237,0.6027
30,156,0.6026
69,92,0.6026
5,184,0.6026
61,155,0.6026
6,82,0.6025
70,122,0.6024
48,101,0.6023000000000001
22,124,0.6023000000000001
49,101,0.6021000000000001
42,255,0.6021000000000001
118,216,0.6019
207,242,0.6019
35,188,0.6018
28,207,0.6017
5,255,0.6016
116,160,0.6016
70,148,0.6016
51,164,0.6014999999999999
123,172,0.6012
72,177,0.6012
61,73,0.601
25,145,0.6008
28,214,0.6008
7,197,0.6004
89,101,0.6004
44,82,0.6002000000000001
147,208,0.6002000000000001
31,130,0.6002000000000001
90,133,0.6002000000000001
27,191,0.6001000000000001
15,72,0.5999
26,72,0.5997
53,164,0.5997
21,215,0.5996
5,130,0.5993999999999999
31,234,0.5993999999999999
29,36,0.5992
114,117,0.5989
6,145,0.5989
92,217,0.5989
64,86,0.5987
95,244,0.5987
106,201,0.5986
59,168,0.5985
93,209,0.5985
91,186,0.5985
131,155,0.5984
62,103,0.5981000000000001
178,233,0.598
88,176,0.5979
51,204,0.5979
43,261,0.5978
11,117,0.5977
22,199,0.5977
43,188,0.5977
152,182,0.5977
26,250,0.5976
109,225,0.5976
216,274,0.5971
153,248,0.597
122,210,0.5969
180,214,0.5967
87,97,0.5967
75,198,0.5967
25,156,0.5966
247,265,0.5966
38,250,0.5965
80,214,0.5964
47,185,0.5964
189,274,0.5963
147,214,0.5962000000000001
106,145,0.5962000000000001
242,259,0.5961000000000001
48,102,0.5961000000000001
41,185,0.596
167,200,0.5959
151,180,0.5957
47,73,0.5956
13,118,0.5956
40,272,0.5956
5,73,0.5956
46,235,0.5956
30,72,0.5956
8,197,0.5954999999999999
129,250,0.5953999999999999
209,275,0.5953999999999999
34,188,0.5953999999999999
44,58,0.5952999999999999
14,47,0.5952
126,215,0.5952
31,38,0.595
85,201,0.595
85,154,0.595
178,202,0.5949
58,90,0.5949
54,164,0.5949
222,264,0.5945
188,245,0.5945
133,191,0.5944
68,264,0.5943
147,199,0.5942000000000001
179,229,0.5942000000000001
11,153,0.5942000000000001
171,238,0.5942000000000001
127,237,0.5938
11,29,0.5938
198,238,0.5937
128,165,0.5936
130,255,0.5936
58,255,0.5936
65,181,0.5936
118,131,0.5936
25,72,0.5935
132,169,0.5935
41,191,0.5933999999999999
202,230,0.5932999999999999
10,100,0.5932999999999999
78,163,0.5932999999999999
71,149,0.5932999999999999
110,169,0.593
91,208,0.593
123,175,0.5928
247,256,0.5927
133,185,0.5927
173,179,0.5927
24,225,0.5926
11,252,0.5925
6,184,0.5925
106,181,0.5924
25,88,0.5923
44,159,0.5923
40,180,0.5920000000000001
35,101,0.5918
106,272,0.5917
15,73,0.5917
3,75,0.5917
42,73,0.5916
157,250,0.5913999999999999
9,101,0.5912999999999999
21,173,0.5912999999999999
3,123,0.5912999999999999
185,214,0.5912
137,180,0.5907
59,146,0.5907
41,72,0.5906
90,159,0.5906
180,184,0.5906
187,275,0.5905
28,113,0.5904
143,274,0.5904
137,161,0.5904
76,168,0.5903
71,178,0.5903
130,133,0.5902000000000001
74,171,0.5901000000000001
30,106,0.5900000000000001
38,151,0.5900000000000001
145,234,0.5899
17,169,0.5899
47,184,0.5898
105,178,0.5898
92,275,0.5898
44,145,0.5897
199,239,0.5895
53,74,0.5895
13,83,0.5895
27,40,0.5895
